"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7284","TC1 - Register a new user successfully","Develop","2026-06-13","failed","2026-06-13","User Registration","e2e/Features/@Registration.feature.spec.js","",""
"","8213","TC3 - Login attempt with incorrect email and password","Develop","2026-06-13","passed","2026-06-13","User Login and Logout","e2e/Features/@Login.feature.spec.js","",""
"","10555","TC2 - Delete a registered account","Develop","2026-06-13","failed","2026-06-13","User Registration","e2e/Features/@Registration.feature.spec.js","",""
"","5957","TC5 - Attempting to register a new user with an already registered email address","Develop","2026-06-13","passed","2026-06-13","User Registration","e2e/Features/@Registration.feature.spec.js","",""
"","13097","TC4 - Logout user","Develop","2026-06-13","passed","2026-06-13","User Login and Logout","e2e/Features/@Login.feature.spec.js","",""
"","8467","TC2 - Login with valid email and password","Develop","2026-06-13","passed","2026-06-13","User Login and Logout","e2e/Features/@Login.feature.spec.js","",""
